Momento,Sector,Producto,Factor
2016-03-01,Puerto Varas,Legumbre,1.0106910286911364
2016-04-01,Frutillar,Legumbre,0.9987204191768709
2016-04-01,Llanquihue,Legumbre,0.9787559041548426
2016-04-01,Osorno,Legumbre,1.0071902142378957
2016-04-01,Puerto Montt,Legumbre,1.0108794493896431
2016-04-01,Puerto Varas,Legumbre,0.9944585427584883
2016-05-01,Frutillar,Legumbre,1.058076367808418
2016-05-01,Llanquihue,Legumbre,1.0049971714244328
2016-05-01,Osorno,Legumbre,0.9970924883347422
2016-05-01,Puerto Montt,Legumbre,0.9887039156647346
2016-05-01,Puerto Varas,Legumbre,1.0357161334871878
2016-06-01,Frutillar,Legumbre,0.992894250614801
2016-06-01,Llanquihue,Legumbre,1.0173077214298798
2016-06-01,Osorno,Legumbre,1.003115015178096
2016-06-01,Puerto Montt,Legumbre,1.004790712017071
2016-06-01,Puerto Varas,Legumbre,0.964859881524328
2016-07-01,Frutillar,Legumbre,0.9935008861555539
2016-07-01,Llanquihue,Legumbre,0.9908033668057136
2016-07-01,Osorno,Legumbre,1.0129358367916972
2016-07-01,Puerto Montt,Legumbre,1.0097044210719541
2016-07-01,Puerto Varas,Legumbre,1.0322166081983297
2016-08-01,Frutillar,Legumbre,1.0108538404974505
2016-08-01,Llanquihue,Legumbre,1.0091004376451054
2016-08-01,Osorno,Legumbre,1.0009546164101943
2016-08-01,Puerto Montt,Legumbre,0.9927719343744054
2016-08-01,Puerto Varas,Legumbre,1.0095107292400265
2016-09-01,Frutillar,Legumbre,1.0250923958635125
2016-09-01,Llanquihue,Legumbre,1.017936503186971
2016-09-01,Osorno,Legumbre,1.006423631222996
2016-09-01,Puerto Montt,Legumbre,1.0067474310487057
2016-09-01,Puerto Varas,Legumbre,0.9699326311419615
2016-10-01,Frutillar,Legumbre,0.9999828546798256
2016-10-01,Llanquihue,Legumbre,1.0004035911218494
2016-10-01,Osorno,Legumbre,1.0041610802921916
2016-10-01,Puerto Montt,Legumbre,1.0253589159305203
2016-10-01,Puerto Varas,Legumbre,1.0221150174013809
2016-11-01,Frutillar,Legumbre,0.9930305920359768
2016-11-01,Llanquihue,Legumbre,1.005200495342995
2016-11-01,Osorno,Legumbre,1.0003085646236607
2016-11-01,Puerto Montt,Legumbre,1.002023961403925
2016-11-01,Puerto Varas,Legumbre,0.9982085477619507
2016-12-01,Frutillar,Legumbre,1.0119362210342588
2016-12-01,Llanquihue,Legumbre,0.9426650097453892
2016-12-01,Osorno,Legumbre,1.0077264989270183
2016-12-01,Puerto Montt,Legumbre,1.010994456779306
2016-12-01,Puerto Varas,Legumbre,0.992446465656427
2017-01-01,Frutillar,Legumbre,1.0301642176461157
2017-01-01,Llanquihue,Legumbre,0.9445633550616528
2017-01-01,Osorno,Legumbre,0.986599867735289
2017-01-01,Puerto Montt,Legumbre,0.9992108993045254
2017-01-01,Puerto Varas,Legumbre,1.0036361389876376
2017-02-01,Frutillar,Legumbre,0.9964694004138689
2017-02-01,Llanquihue,Legumbre,1.1286648161354873
2017-02-01,Osorno,Legumbre,1.0081933723463339
2017-02-01,Puerto Montt,Legumbre,0.9756503181804838
2017-02-01,Puerto Varas,Legumbre,0.9981217556329853
2017-03-01,Frutillar,Legumbre,0.9635108967809815
2017-03-01,Llanquihue,Legumbre,0.9549470546416118
2017-03-01,Osorno,Legumbre,1.007541411362526
2017-03-01,Puerto Montt,Legumbre,1.0109385205059143
2017-03-01,Puerto Varas,Legumbre,1.01334114139353
2017-04-01,Frutillar,Legumbre,0.9707512667616982
2017-04-01,Llanquihue,Legumbre,1.0281752176513987
2017-04-01,Osorno,Legumbre,1.0107407695934512
2017-04-01,Puerto Montt,Legumbre,0.9955181752338059
2017-04-01,Puerto Varas,Legumbre,0.9662780757035477
2017-05-01,Frutillar,Legumbre,1.0705593271999148
2017-05-01,Llanquihue,Legumbre,1.0303311686196759
2017-05-01,Osorno,Legumbre,0.9796145636638155
2017-05-01,Puerto Montt,Legumbre,1.0201508249261322
2017-05-01,Puerto Varas,Legumbre,0.9880820730804978
2017-06-01,Frutillar,Legumbre,1.0120228877444233
2017-06-01,Llanquihue,Legumbre,0.9530683126813843
2017-06-01,Osorno,Legumbre,0.9755175352924104
2017-06-01,Puerto Montt,Legumbre,1.0034631516486656
2017-06-01,Puerto Varas,Legumbre,1.0566113247146611
2017-07-01,Frutillar,Legumbre,0.9847923919802899
2017-07-01,Llanquihue,Legumbre,1.0010825139822561
2017-07-01,Osorno,Legumbre,1.0406885490438953
2017-07-01,Puerto Montt,Legumbre,1.0221918243716497
2017-07-01,Puerto Varas,Legumbre,0.9977748659068557
2017-08-01,Frutillar,Legumbre,1.000911586894476
2017-08-01,Llanquihue,Legumbre,1.0306528759483193
2017-08-01,Osorno,Legumbre,1.0100978394877436
2017-08-01,Puerto Montt,Legumbre,0.9983418625738473
2017-08-01,Puerto Varas,Legumbre,0.9977027030488872
2017-09-01,Frutillar,Legumbre,1.0325038455181916
2017-09-01,Llanquihue,Legumbre,1.017161086121775
2017-09-01,Osorno,Legumbre,0.9937241386406432
2017-09-01,Puerto Montt,Legumbre,0.9944751683601645
2017-09-01,Puerto Varas,Legumbre,1.0177966720353866
2017-10-01,Frutillar,Legumbre,1.0178676519321372
2017-10-01,Llanquihue,Legumbre,0.9448653627264951
2017-10-01,Osorno,Legumbre,1.0028827600925485
2017-10-01,Puerto Montt,Legumbre,1.0013601192041748
2017-10-01,Puerto Varas,Legumbre,1.0272330126120552
2017-11-01,Frutillar,Legumbre,0.9941081482485998
2017-11-01,Llanquihue,Legumbre,1.0603843426590431
2017-11-01,Osorno,Legumbre,1.0049546010174224
2017-11-01,Puerto Montt,Legumbre,1.0063845154687934
2017-11-01,Puerto Varas,Legumbre,1.0031670919446514
2017-12-01,Frutillar,Legumbre,1.0139090520071752
2017-12-01,Llanquihue,Legumbre,0.9675368329442279
2017-12-01,Osorno,Legumbre,1.0107091018656884
2017-12-01,Puerto Montt,Legumbre,0.9998884936314577
2017-12-01,Puerto Varas,Legumbre,1.0069257128134679
2018-01-01,Frutillar,Legumbre,1.0268659910898312
2018-01-01,Llanquihue,Legumbre,1.0785787279669876
2018-01-01,Osorno,Legumbre,0.9910015461858398
2018-01-01,Puerto Montt,Legumbre,0.9982204419130738
2018-01-01,Puerto Varas,Legumbre,0.9744764082515576
2018-02-01,Frutillar,Legumbre,0.9482716769242716
2018-02-01,Llanquihue,Legumbre,0.9469931963934117
2018-02-01,Osorno,Legumbre,1.0109589656369697
2018-02-01,Puerto Montt,Legumbre,1.010283369199415
2018-02-01,Puerto Varas,Legumbre,0.9719702731340271
2018-03-01,Frutillar,Legumbre,1.0166522078541351
2018-03-01,Llanquihue,Legumbre,1.0074719386784445
2018-03-01,Osorno,Legumbre,0.9963748334856201
2018-03-01,Puerto Montt,Legumbre,0.992121515526094
2018-03-01,Puerto Varas,Legumbre,0.9894791915274505
2018-04-01,Frutillar,Legumbre,0.9315698387677666
2018-04-01,Llanquihue,Legumbre,1.0151484042226577
2018-04-01,Osorno,Legumbre,0.9859331882659247
2018-04-01,Puerto Montt,Legumbre,0.9869920958738156
2018-04-01,Puerto Varas,Legumbre,0.9924563721666629
2018-05-01,Frutillar,Legumbre,1.024772528146158
2018-05-01,Llanquihue,Legumbre,0.9639040184989557
2018-05-01,Osorno,Legumbre,0.9802749434142247
2018-05-01,Puerto Montt,Legumbre,0.9905660079106983
2018-05-01,Puerto Varas,Legumbre,1.0180067379810964
2018-06-01,Frutillar,Legumbre,0.987508491185246
2018-06-01,Llanquihue,Legumbre,1.0174003272196948
2018-06-01,Osorno,Legumbre,1.0185534648590049
2018-06-01,Puerto Montt,Legumbre,1.0036540567983052
2018-06-01,Puerto Varas,Legumbre,0.9789126475939641
2014-08-01,Frutillar,Huevos,1.0
2014-08-01,Llanquihue,Huevos,1.0
2014-08-01,Osorno,Huevos,1.0
2014-08-01,Puerto Montt,Huevos,1.0
2014-08-01,Puerto Varas,Huevos,1.0
2014-09-01,Frutillar,Huevos,0.9433807360848837
2014-09-01,Llanquihue,Huevos,0.8302167061498439
2014-09-01,Osorno,Huevos,1.0315038078926462
2014-09-01,Puerto Montt,Huevos,0.9977337139575275
2014-09-01,Puerto Varas,Huevos,0.8957020090267005
2014-10-01,Frutillar,Huevos,0.9854654761473114
2014-10-01,Llanquihue,Huevos,0.9810479778408205
2014-10-01,Osorno,Huevos,0.9827622883776349
2014-10-01,Puerto Montt,Huevos,1.0159386724434176
2014-10-01,Puerto Varas,Huevos,1.048552429490707
2014-11-01,Frutillar,Huevos,1.075651487421928
2014-11-01,Llanquihue,Huevos,1.227773583000034
2014-11-01,Osorno,Huevos,1.0002054884534437
2014-11-01,Puerto Montt,Huevos,0.9997790632253541
2014-11-01,Puerto Varas,Huevos,1.0189122838075255
2014-12-01,Frutillar,Huevos,1.0
2014-12-01,Llanquihue,Huevos,1.0
2014-12-01,Osorno,Huevos,1.0547490037679632
2014-12-01,Puerto Montt,Huevos,0.9971400965440455
2014-12-01,Puerto Varas,Huevos,1.0018700306142538
2015-01-01,Frutillar,Huevos,1.0
2015-01-01,Llanquihue,Huevos,1.0
2015-01-01,Osorno,Huevos,0.9633814324506718
2015-01-01,Puerto Montt,Huevos,0.9991840254137428
2015-01-01,Puerto Varas,Huevos,0.9925341779512629
2015-02-01,Frutillar,Huevos,1.0059823268582893
2015-02-01,Llanquihue,Huevos,1.0
2015-02-01,Osorno,Huevos,1.0214471928990747
2015-02-01,Puerto Montt,Huevos,1.0152274692529675
2015-02-01,Puerto Varas,Huevos,1.0070029160354392
2015-03-01,Frutillar,Huevos,0.7350788157415734
2015-03-01,Llanquihue,Huevos,0.933177468006917
2015-03-01,Osorno,Huevos,1.0227668564611179
2015-03-01,Puerto Montt,Huevos,1.017344828856418
2015-03-01,Puerto Varas,Huevos,1.0111168024896007
2015-04-01,Frutillar,Huevos,1.0010793311290682
2015-04-01,Llanquihue,Huevos,0.9626208001076286
2015-04-01,Osorno,Huevos,0.9908249545863551
2015-04-01,Puerto Montt,Huevos,1.0123921924758659
2015-04-01,Puerto Varas,Huevos,0.9982406573638983
2015-05-01,Frutillar,Huevos,1.0010770062356806
2015-05-01,Llanquihue,Huevos,1.0762576165689823
2015-05-01,Osorno,Huevos,1.032546660414176
2015-05-01,Puerto Montt,Huevos,1.0440468976098292
2015-05-01,Puerto Varas,Huevos,1.009219533480297
2015-06-01,Frutillar,Huevos,1.008886973151495
2015-06-01,Llanquihue,Huevos,1.063923172982099
2015-06-01,Osorno,Huevos,1.0451148475068686
2015-06-01,Puerto Montt,Huevos,1.0405778520841655
2015-06-01,Puerto Varas,Huevos,1.0008045437285769
2015-07-01,Frutillar,Huevos,0.9911913094449676
2015-07-01,Llanquihue,Huevos,1.0004043425356657
2015-07-01,Osorno,Huevos,1.0281872188074246
2015-07-01,Puerto Montt,Huevos,0.9959645541862678
2015-07-01,Puerto Varas,Huevos,1.0366054976654022
2015-08-01,Frutillar,Huevos,1.2738696605179423
2015-08-01,Llanquihue,Huevos,1.025074802710821
2015-08-01,Osorno,Huevos,0.9803934846062379
2015-08-01,Puerto Montt,Huevos,1.0325786585128351
2015-08-01,Puerto Varas,Huevos,1.0280604430639269
2015-09-01,Frutillar,Huevos,1.0649077404115315
2015-09-01,Llanquihue,Huevos,0.9836199409592016
2015-09-01,Osorno,Huevos,1.022706334119572
2015-09-01,Puerto Montt,Huevos,0.9734753896646583
2015-09-01,Puerto Varas,Huevos,0.9696776194693437
2015-10-01,Frutillar,Huevos,0.9994650975814126
2015-10-01,Llanquihue,Huevos,0.9581814246972514
2015-10-01,Osorno,Huevos,0.992283561758153
2015-10-01,Puerto Montt,Huevos,0.9818120608610659
2015-10-01,Puerto Varas,Huevos,1.0078574670018368
2015-11-01,Frutillar,Huevos,1.0
2015-11-01,Llanquihue,Huevos,1.0004927752511397
2015-11-01,Osorno,Huevos,0.97407405086362
2015-11-01,Puerto Montt,Huevos,0.9896802006049952
2015-11-01,Puerto Varas,Huevos,0.9554434470860069
2015-12-01,Frutillar,Huevos,0.9361702906358083
2015-12-01,Llanquihue,Huevos,0.9885396120281179
2015-12-01,Osorno,Huevos,1.0208374509474576
2015-12-01,Puerto Montt,Huevos,1.000977163892433
2015-12-01,Puerto Varas,Huevos,1.022815002903158
2016-01-01,Frutillar,Huevos,1.0605801092043725
2016-01-01,Llanquihue,Huevos,0.9830496158965382
2016-01-01,Osorno,Huevos,0.9623601228702473
2016-01-01,Puerto Montt,Huevos,0.9926770377542952
2016-01-01,Puerto Varas,Huevos,0.9979418701971937
2016-02-01,Frutillar,Huevos,0.8742640960379546
2016-02-01,Llanquihue,Huevos,1.0908977462971645
2016-02-01,Osorno,Huevos,0.9704420909373944
2016-02-01,Puerto Montt,Huevos,0.9984339807607429
2016-02-01,Puerto Varas,Huevos,0.991216110785104
2016-03-01,Frutillar,Huevos,1.1082385520659825
2016-03-01,Llanquihue,Huevos,0.8613819056911601
2016-03-01,Osorno,Huevos,1.023727732587513
2016-03-01,Puerto Montt,Huevos,1.0016884283157867
2016-03-01,Puerto Varas,Huevos,1.0169741711349718
2016-04-01,Frutillar,Huevos,0.9757977163879126
2016-04-01,Llanquihue,Huevos,1.0884030461629042
2016-04-01,Osorno,Huevos,1.0090699377740229
2016-04-01,Puerto Montt,Huevos,1.0010629636246038
2016-04-01,Puerto Varas,Huevos,0.9875211160622946
2016-05-01,Frutillar,Huevos,1.084659572460735
2016-05-01,Llanquihue,Huevos,1.0411443430456
2016-05-01,Osorno,Huevos,1.0089888086696746
2016-05-01,Puerto Montt,Huevos,0.9878275589626476
2016-05-01,Puerto Varas,Huevos,0.992983389023635
2016-06-01,Frutillar,Huevos,0.963611538870117
2016-06-01,Llanquihue,Huevos,0.9408467729534002
2016-06-01,Osorno,Huevos,0.9950019270010765
2016-06-01,Puerto Montt,Huevos,0.9788709689728295
2016-06-01,Puerto Varas,Huevos,1.0006543616475936
2016-07-01,Frutillar,Huevos,1.0959782292619866
2016-07-01,Llanquihue,Huevos,1.0344850042807614
2016-07-01,Osorno,Huevos,0.9995464846066212
2016-07-01,Puerto Montt,Huevos,1.0401779441130592
2016-07-01,Puerto Varas,Huevos,1.0160414390334969
2016-08-01,Frutillar,Huevos,1.0370408651161693
2016-08-01,Llanquihue,Huevos,1.0473610056500806
2016-08-01,Osorno,Huevos,1.0213162232946735
2016-08-01,Puerto Montt,Huevos,1.006481562074425
2016-08-01,Puerto Varas,Huevos,1.0083960999799066
2016-09-01,Frutillar,Huevos,0.9759701110769122
2016-09-01,Llanquihue,Huevos,0.9763377194027005
2016-09-01,Osorno,Huevos,0.9887109763421225
2016-09-01,Puerto Montt,Huevos,0.9914721001844533
2016-09-01,Puerto Varas,Huevos,1.015550755068917
2016-10-01,Frutillar,Huevos,0.9904584857793186
2016-10-01,Llanquihue,Huevos,1.015726488516234
2016-10-01,Osorno,Huevos,0.9860321589928784
2016-10-01,Puerto Montt,Huevos,0.9915245114669082
2016-10-01,Puerto Varas,Huevos,0.9888733641990423
2016-11-01,Frutillar,Huevos,0.9560168496553241
2016-11-01,Llanquihue,Huevos,0.9737686931328907
2016-11-01,Osorno,Huevos,0.9934753719583728
2016-11-01,Puerto Montt,Huevos,0.9976293331623627
2016-11-01,Puerto Varas,Huevos,0.9932839542079237
2016-12-01,Frutillar,Huevos,0.9950963932197963
2016-12-01,Llanquihue,Huevos,1.0099428350660804
2016-12-01,Osorno,Huevos,0.9953672107522246
2016-12-01,Puerto Montt,Huevos,0.9998220377359666
2016-12-01,Puerto Varas,Huevos,0.990533146798503
2017-01-01,Frutillar,Huevos,0.9698945475507551
2017-01-01,Llanquihue,Huevos,0.909141503727096
2017-01-01,Osorno,Huevos,0.9696890814030524
2017-01-01,Puerto Montt,Huevos,0.9887839727604274
2017-01-01,Puerto Varas,Huevos,0.9819988371521265
2017-02-01,Frutillar,Huevos,1.0163736482500871
2017-02-01,Llanquihue,Huevos,1.0680307396304325
2017-02-01,Osorno,Huevos,1.0156927924691512
2017-02-01,Puerto Montt,Huevos,0.9835430027466787
2017-02-01,Puerto Varas,Huevos,1.00465303086636
2017-03-01,Frutillar,Huevos,1.0248923068198283
2017-03-01,Llanquihue,Huevos,0.9755289831088373
2017-03-01,Osorno,Huevos,1.0020220872353276
2017-03-01,Puerto Montt,Huevos,0.9947149751485559
2017-03-01,Puerto Varas,Huevos,0.997418070835209
2017-04-01,Frutillar,Huevos,0.9643886103660873
2017-04-01,Llanquihue,Huevos,1.0259344816989389
2017-04-01,Osorno,Huevos,1.015864101022961
2017-04-01,Puerto Montt,Huevos,1.0032732906795705
2017-04-01,Puerto Varas,Huevos,0.9962555825424294
2017-05-01,Frutillar,Huevos,1.078300834987168
2017-05-01,Llanquihue,Huevos,1.05713681846825
2017-05-01,Osorno,Huevos,0.9931597287636155
2017-05-01,Puerto Montt,Huevos,1.0393705911952333
2017-05-01,Puerto Varas,Huevos,1.0324684758812845
2017-06-01,Frutillar,Huevos,0.9995027297874874
2017-06-01,Llanquihue,Huevos,0.9481166289615691
2017-06-01,Osorno,Huevos,1.013514855468371
2017-06-01,Puerto Montt,Huevos,1.027528252138901
2017-06-01,Puerto Varas,Huevos,1.0166448270075532
2017-07-01,Frutillar,Huevos,1.0381119738583742
2017-07-01,Llanquihue,Huevos,1.0424870616611859
2017-07-01,Osorno,Huevos,1.0164112734701733
2017-07-01,Puerto Montt,Huevos,1.005710899281102
2017-07-01,Puerto Varas,Huevos,1.0422696296319138
2017-08-01,Frutillar,Huevos,1.0232779779151855
2017-08-01,Llanquihue,Huevos,1.002024369839031
2017-08-01,Osorno,Huevos,1.0308858267733778
2017-08-01,Puerto Montt,Huevos,1.0181967647311323
2017-08-01,Puerto Varas,Huevos,0.9866613805559357
2017-09-01,Frutillar,Huevos,1.0276926039257273
2017-09-01,Llanquihue,Huevos,1.040655350697107
2017-09-01,Osorno,Huevos,0.9912144514215327
