Ponderacion,Producto_INE,Producto,Accion
0.1494,ROPA INTERIOR Y DE DORMIR PARA MUJER,ROPA INTERIOR Y DE DORMIR PARA MUJER,Mantener
0.08405,ROPA DE ABRIGO INFANTIL,ROPA DE ABRIGO INFANTIL,Mantener
0.11514,"PANTALÓN, FALDA Y VESTIDO INFANTIL","PANTALÓN, FALDA Y VESTIDO INFANTIL",Mantener
0.10053,CAMISA Y POLERA INFANTIL,CAMISA Y POLERA INFANTIL,Mantener
0.03595,"ROPA DEPORTIVA, SHORTS, BERMUDAS Y TRAJES DE BAÑO INFANTIL","ROPA DEPORTIVA, SHORTS, BERMUDAS Y TRAJES DE BAÑO INFANTIL",Mantener
0.06856,ROPA INTERIOR Y DE DORMIR INFANTIL,ROPA INTERIOR Y DE DORMIR INFANTIL,Mantener
0.02027,ROPA DE ABRIGO PARA LACTANTE,ROPA DE ABRIGO PARA LACTANTE,Mantener
0.04348,CONJUNTO PARA LACTANTE,CONJUNTO PARA LACTANTE,Mantener
0.04294,ROPA INTERIOR Y DE DORMIR PARA LACTANTE,ROPA INTERIOR Y DE DORMIR PARA LACTANTE,Mantener
0.1407,UNIFORME ESCOLAR,UNIFORME ESCOLAR,Mantener
0.02941,ROPA DEPORTIVA ESCOLAR,ROPA DEPORTIVA ESCOLAR,Mantener
0.05232,ARTÍCULOS PARA REPARACIÓN DE VESTUARIO,ARTÍCULOS PARA REPARACIÓN DE VESTUARIO,Mantener
0.10338,ACCESORIOS DE VESTIR,ACCESORIOS DE VESTIR,Mantener
0.0478,SERVICIO DE LIMPIEZA DE VESTUARIO,SERVICIO DE LIMPIEZA DE VESTUARIO,Mantener
0.02856,SERVICIO DE REPARACIÓN DE VESTUARIO,SERVICIO DE REPARACIÓN DE VESTUARIO,Mantener
0.19217,ZAPATILLAS PARA HOMBRE,ZAPATILLAS PARA HOMBRE,Mantener
0.18006,ZAPATOS PARA HOMBRE,ZAPATOS PARA HOMBRE,Mantener
0.02234,CALZADO DE ESTACIÓN PARA HOMBRE,CALZADO DE ESTACIÓN PARA HOMBRE,Mantener
0.11821,ZAPATILLAS PARA MUJER,ZAPATILLAS PARA MUJER,Mantener
0.16239,ZAPATOS PARA MUJER,ZAPATOS PARA MUJER,Mantener
0.2419,CALZADO DE ESTACIÓN PARA MUJER,CALZADO DE ESTACIÓN PARA MUJER,Mantener
0.1449,ZAPATILLA INFANTIL,ZAPATILLA INFANTIL,Mantener
0.09317,ZAPATO INFANTIL,ZAPATO INFANTIL,Mantener
0.04822,CALZADO DE ESTACIÓN INFANTIL,CALZADO DE ESTACIÓN INFANTIL,Mantener
4.166210000000003,ARRIENDO,ARRIENDO,Mantener
0.44885,MATERIALES PARA LA REPARACIÓN DE LA VIVIENDA,MATERIALES PARA LA REPARACIÓN DE LA VIVIENDA,Mantener
0.20695,PINTURA Y BARNIZ,PINTURA Y BARNIZ,Mantener
0.13368,GRIFERIA Y ACCESORIOS,GRIFERIA Y ACCESORIOS,Mantener
0.03766,SELLANTES Y PEGAMENTOS,SELLANTES Y PEGAMENTOS,Mantener
0.97474,SERVICIOS PARA LA CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA,SERVICIOS PARA LA CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA,Mantener
1.85621,AGUA POTABLE,AGUA POTABLE,Mantener
0.13524,SERVICIO DE RETIRO DE BASURA,SERVICIO DE RETIRO DE BASURA,Mantener
0.10934,SERVICIO DE ALARMA PARA LA VIVIENDA,SERVICIO DE ALARMA PARA LA VIVIENDA,Mantener
0.95161,GASTO COMÚN,GASTO COMÚN,Mantener
2.69314,ELECTRICIDAD,ELECTRICIDAD,Mantener
0.6949,GAS POR RED,GAS POR RED,Mantener
1.05361,GAS LICUADO,GAS LICUADO,Mantener
0.14527,CARBÓN,CARBÓN,Mantener
0.03447,PARAFINA,PARAFINA,Mantener
0.18622,LEÑA,LEÑA,Mantener
