Ponderacion,Producto_INE,Producto,Accion
0.06907,MÁQUINA DE AFEITAR DESECHABLE,MÁQUINA DE AFEITAR DESECHABLE,Mantener
0.04045,ARTÍCULOS DIVERSOS PARA EL CUIDADO PERSONAL,ARTÍCULOS DIVERSOS PARA EL CUIDADO PERSONAL,Mantener
0.03152,BLOQUEADORES Y BRONCEADORES,BLOQUEADORES Y BRONCEADORES,Mantener
0.23605,COLONIAS Y PERFUMES,COLONIAS Y PERFUMES,Mantener
0.16724,DESODORANTES Y ANTITRANSPIRANTES,DESODORANTES Y ANTITRANSPIRANTES,Mantener
0.16213,PRODUCTOS DE HIGIENE BUCAL,PRODUCTOS DE HIGIENE BUCAL,Mantener
0.37394,PAPEL HIGIÉNICO,PAPEL HIGIÉNICO,Mantener
0.09615,JABÓN,JABÓN,Mantener
0.36327,PAÑALES DESECHABLES,PAÑALES DESECHABLES,Mantener
0.08505,PROTECCIÓN HIGIÉNICA FEMENINA,PROTECCIÓN HIGIÉNICA FEMENINA,Mantener
0.24225,SHAMPOO Y BÁLSAMO,SHAMPOO Y BÁLSAMO,Mantener
0.20305,CREMAS PARA LA PIEL,CREMAS PARA LA PIEL,Mantener
0.1216,PRODUCTOS DE MAQUILLAJE,PRODUCTOS DE MAQUILLAJE,Mantener
0.14949,TINTURAS Y FIJADORES,TINTURAS Y FIJADORES,Mantener
0.16196,JOYAS,JOYAS,Mantener
0.04785,RELOJ  DE PULSERA,RELOJ  DE PULSERA,Mantener
0.29367,CARTERAS Y BOLSOS,CARTERAS Y BOLSOS,Mantener
0.05334,COCHE PARA BEBÉ,COCHE PARA BEBÉ,Mantener
0.05781,LENTES DE SOL,LENTES DE SOL,Mantener
0.48124,SEGURO DE AUTOMÓVIL,SEGURO DE AUTOMÓVIL,Mantener
2.42126,GASTO FINANCIERO,GASTO FINANCIERO,Mantener
0.04235,SERVICIO DE EMISIÓN DE CERTIFICADO,SERVICIO DE EMISIÓN DE CERTIFICADO,Mantener
0.04891,SERVICIO DE FOTOCOPIADO,SERVICIO DE FOTOCOPIADO,Mantener
0.09976,MEMBRESÍA EN ASOCIACIÓN PROFESIONAL,MEMBRESÍA EN ASOCIACIÓN PROFESIONAL,Mantener
0.09312,SERVICIO NOTARIAL,SERVICIO NOTARIAL,Mantener
0.30811,SERVICIO FUNERARIO,SERVICIO FUNERARIO,Mantener
0.02915,SERVICIOS DE ASESORAMIENTO JURÍDICO,SERVICIOS DE ASESORAMIENTO JURÍDICO,Mantener
0.0675,CUOTAS EN CENTROS DE PADRES Y APODERADOS,CUOTAS EN CENTROS DE PADRES Y APODERADOS,Mantener
0.07087,SERVICIO DE RESIDENCIAS PARA ADULTOS MAYORES,SERVICIO DE RESIDENCIAS PARA ADULTOS MAYORES,Mantener
0.09879,SERVICIO DE SALA CUNA,SERVICIO DE SALA CUNA,Mantener
