Momento,ipc
2014-09-01,0.16393929519844133
2014-10-01,0.16496870921316537
2014-11-01,0.16520761383188765
2014-12-01,0.1668505446006326
2015-01-01,0.16238494592998312
2015-02-01,0.16837845608525936
2015-03-01,0.17024018080762013
2015-04-01,0.16428593936295333
2015-05-01,0.17069469364684303
2015-06-01,0.16609509745077575
2015-07-01,0.16578439218420732
2015-08-01,0.16936377436726358
2015-09-01,0.16674073325623034
2015-10-01,0.17079112958022058
2015-11-01,0.17316808684060148
2015-12-01,0.16493319917255828
2016-01-01,0.17218682474628721
2016-02-01,0.16562540482353377
2016-03-01,0.1674823176004385
2016-04-01,0.1681398354477321
2016-05-01,0.16509808095646633
2016-06-01,0.16016601237710978
2016-07-01,0.17802455047455804
2016-08-01,0.16973765921726422
2016-09-01,0.16662568208165565
2016-10-01,0.16204186682232422
2016-11-01,0.1714686273330225
2016-12-01,0.16349345149482578
2017-01-01,0.1707453495807541
2017-02-01,0.16327455855942719
2017-03-01,0.16739525367942765
2017-04-01,0.16272364275788795
2017-05-01,0.16677987027918423
2017-06-01,0.16121165566675705
2017-07-01,0.1709693960918315
2017-08-01,0.17048736745257062
2017-09-01,0.16369859759829866
2017-10-01,0.16579709948977783
2017-11-01,0.16715402830236695
2017-12-01,0.16303521847102986
2018-01-01,0.17323896401869818
2018-02-01,0.16819582576994432
2018-03-01,0.16767552348495168
2018-04-01,0.16469707458533486
2018-05-01,0.15956167805042512
2018-06-01,0.17157633274089537
