Momento,ipc
2014-09-01,0.1576791007449673
2014-10-01,0.17384595715076157
2014-11-01,0.169483237779276
2014-12-01,0.16686112244382953
2015-01-01,0.16686112244382953
2015-02-01,0.16686112244382953
2015-03-01,0.1446171004154099
2015-04-01,0.17750890033200734
2015-05-01,0.1677186339189765
2015-06-01,0.1657995938140444
2015-07-01,0.1537875859809245
2015-08-01,0.1865753802186848
2015-09-01,0.16684468405369915
2015-10-01,0.1764391299656226
2015-11-01,0.15961450158308718
2015-12-01,0.17132518907181674
2016-01-01,0.1584519159271364
2016-02-01,0.17668103068583468
2016-03-01,0.16876034896735964
2016-04-01,0.17004433887171733
2016-05-01,0.16748295897623017
2016-06-01,0.17511670977534544
2016-07-01,0.16088772594460093
2016-08-01,0.16671962380904098
2016-09-01,0.1748041302152809
2016-10-01,0.16116328883973505
2016-11-01,0.17606673603091255
2016-12-01,0.1642819613929165
2017-01-01,0.15432767771541367
2017-02-01,0.1828038555114935
2017-03-01,0.150774568546294
2017-04-01,0.16900575437229462
2017-05-01,0.17290611918372495
2017-06-01,0.16814484257988518
2017-07-01,0.16098304201408825
2017-08-01,0.1697603861100292
2017-09-01,0.16818435182348312
2017-10-01,0.15578211436702963
2017-11-01,0.17139168342506286
2017-12-01,0.16837401383910774
2018-01-01,0.17030024867427462
2018-02-01,0.17694157340293779
2018-03-01,0.15882052166368937
2018-04-01,0.15614978824676787
2018-05-01,0.15858664709793108
2018-06-01,0.17956490652199458
