Momento,ipc
2014-09-01,0.16917737910958636
2014-10-01,0.16853184751040204
2014-11-01,0.1598582798982747
2014-12-01,0.16807570054906976
2015-01-01,0.16398981179931418
2015-02-01,0.16903237050323616
2015-03-01,0.17501087690571818
2015-04-01,0.16451109583630266
2015-05-01,0.1701536116732895
2015-06-01,0.16618909987833597
2015-07-01,0.16297394733915868
2015-08-01,0.16759342989449022
2015-09-01,0.16444821060019518
2015-10-01,0.17404927361918537
2015-11-01,0.16694163179405355
2015-12-01,0.16448397361532685
2016-01-01,0.1725943183936622
2016-02-01,0.17017635504686066
2016-03-01,0.1683050872451332
2016-04-01,0.1620430035367005
2016-05-01,0.16001860866392983
2016-06-01,0.16991871485448004
2016-07-01,0.17588263948112573
2016-08-01,0.1690418822335134
2016-09-01,0.16709288772415093
2016-10-01,0.16410796794090388
2016-11-01,0.16737582903883313
2016-12-01,0.16718812897904115
2017-01-01,0.17045927156978824
2017-02-01,0.15907128595739845
2017-03-01,0.16771010075890144
2017-04-01,0.16447272912202798
2017-05-01,0.16774920509208044
2017-06-01,0.1657921700971306
2017-07-01,0.16737502842080298
2017-08-01,0.17059275839089308
2017-09-01,0.1566937119668873
2017-10-01,0.16991401169412287
2017-11-01,0.1691799923348839
2017-12-01,0.1662228399393588
2018-01-01,0.17107577048352257
2018-02-01,0.16711427562701098
2018-03-01,0.1650001851093122
2018-04-01,0.1658367488869094
2018-05-01,0.16403661990803653
2018-06-01,0.16575196478729504
