Producto,Ponderacion,Ponderacion_Nueva
Aceite,0.3455,0.02587449037364112
Azucar,0.18716,0.01401640989386591
Carnes,4.38211,0.32817615922210275
Cereales,0.67947,0.05088549920167275
Frutas,1.1832500000000001,0.0886135766558925
Harina,0.09708,0.007270319900066802
Hortaliza,1.69038,0.12659253556525465
Huevos,0.33391,0.02500651542883504
Lacteos,2.22952,0.16696872294599235
Legumbre,0.13135,0.009836799741180206
Pan,2.0931900000000003,0.156758971071496
