Momento,ipc
2014-09-01,0.15848180240118642
2014-10-01,0.16782810139321166
2014-11-01,0.1639888993385771
2014-12-01,0.16985536199050474
2015-01-01,0.16156776065464232
2015-02-01,0.1718153347365452
2015-03-01,0.16274472012046834
2015-04-01,0.17298654265714403
2015-05-01,0.16501579629805582
2015-06-01,0.16584835624392824
2015-07-01,0.17003564599298676
2015-08-01,0.15995428472505688
2015-09-01,0.1726992469865334
2015-10-01,0.16628169176023394
2015-11-01,0.16731645363606
2015-12-01,0.16391316683720739
2016-01-01,0.17305930026503522
2016-02-01,0.1718964938083786
2016-03-01,0.16983634578211795
2016-04-01,0.16494266375111963
2016-05-01,0.16210261226535472
2016-06-01,0.17412848079104978
2016-07-01,0.16812349520612763
2016-08-01,0.1684730100104789
2016-09-01,0.16578778795316676
2016-10-01,0.1649310226261655
2016-11-01,0.16769465405359843
2016-12-01,0.17465167259263303
2017-01-01,0.16989391808951337
2017-02-01,0.17090258485307827
2017-03-01,0.16188595140969955
2017-04-01,0.1636361218145601
2017-05-01,0.17208005742624474
2017-06-01,0.15138637628784393
2017-07-01,0.16958665501019837
2017-08-01,0.16637520781948237
2017-09-01,0.16827415759214498
2017-10-01,0.16857774970974632
2017-11-01,0.1647496194408162
2017-12-01,0.16328906658730843
2018-01-01,0.17175747517498213
2018-02-01,0.1672348435209387
2018-03-01,0.16697494254790654
2018-04-01,0.16098395740722385
2018-05-01,0.16555385375026768
2018-06-01,0.1689046445303429
